{,#N/A,German,Spanish,Brazilian Portuguese,Russian,Japanese,Simplified Chinese,Italian,French,Korean,Turkish,Hungarian
"Dialogues.CT.SterlingRelapse: ""I heard and also noticed Sterling missing at Pierre's lately.#$b#Do you know anything about it, {{DT_name}}?"",","I heard and also noticed Sterling missing at Pierre's lately.#$b#Do you know anything about it, {{DT_name}}?","Ich habe in letzter Zeit gehört und auch bemerkt, dass Sterling bei Pierre vermisst wird.#$b#Weißt du etwas darüber, {{DT_name}}?","Escuché y también noté que Sterling había desaparecido en casa de Pierre últimamente.#$b#¿Sabes algo al respecto, {{DT_name}}?","Ouvi e também notei o desaparecimento de Sterling na casa de Pierre recentemente.#$b#Você sabe alguma coisa sobre isso, {{DT_name}}?","Я слышал и заметил, что Стерлинг недавно пропал у Пьера.#$b#Ты что-нибудь об этом знаешь, {{DT_name}}?",最近スターリングがピエールの家で行方不明になっていることを聞きましたし、また気づきました。#$b#それについて何か知っていますか、{{DT_name}}?,我听说并注意到斯特林最近在皮埃尔家失踪了。#$b#你知道吗，{{DT_name}}？,"Ho sentito e notato anche la scomparsa di Sterling da Pierre ultimamente.#$b#Ne sai qualcosa, {{DT_name}}?","J'ai entendu et remarqué que Sterling avait disparu chez Pierre ces derniers temps.#$b#Savez-vous quelque chose à ce sujet, {{DT_name}} ?","최근에 스털링이 피에르네에서 실종됐다는 소식을 들었고, 또 알아냈습니다.#$b#이 사건에 대해 아는 게 있나요, {{DT_name}}님?",Sterling'in son zamanlarda Pierre'de kaybolduğunu duydum ve fark ettim.#$b#Bu konuda bir şey biliyor musun {{DT_name}}?,"Mostanában hallottam és észrevettem, hogy Sterling eltűnt Pierre'snél.#$b#Tudsz valamit róla, {{DT_name}}?"
"Dialogues.CT.SterlingApology: ""I'm not sure what has happened between Pierre and Sterling, but he is back at work...#$b#No, {{DT_name}}. It is just between them. I don't want to know it."",","I'm not sure what has happened between Pierre and Sterling, but he is back at work...#$b#No, {{DT_name}}. It is just between them. I don't want to know it.","Ich bin mir nicht sicher, was zwischen Pierre und Sterling passiert ist, aber er ist wieder bei der Arbeit...#$b#Nein, {{DT_name}}. Es ist einfach zwischen ihnen. Ich will es nicht wissen.","No estoy seguro de qué ha pasado entre Pierre y Sterling, pero él ha vuelto al trabajo...#$b#No, {{DT_name}}. Es sólo entre ellos. No quiero saberlo.","Não tenho certeza do que aconteceu entre Pierre e Sterling, mas ele está de volta ao trabalho...#$b#Não, {{DT_name}}. É apenas entre eles. Eu não quero saber disso.","Я не уверен, что произошло между Пьером и Стерлингом, но он снова на работе...#$b#Нет, {{DT_name}}. Это только между ними. Я не хочу этого знать.",ピエールとスターリングの間に何が起こったのかは分かりませんが、彼は仕事に戻っています...#$b#いいえ、{{DT_name}}。それはちょうど彼らの間です。知りたくないんです。,我不确定 Pierre 和 Sterling 之间发生了什么，但他回来工作了...#$b#不，{{DT_name}}。这只是他们之间的事情。我不想知道。,"Non sono sicuro di cosa sia successo tra Pierre e Sterling, ma lui è tornato al lavoro...#$b#No, {{DT_name}}. È solo una cosa tra loro. Non voglio saperlo.","Je ne suis pas sûr de ce qui s'est passé entre Pierre et Sterling, mais il est de retour au travail...#$b#Non, {{DT_name}}. C'est juste entre eux. Je ne veux pas le savoir.","Pierre와 Sterling 사이에 무슨 일이 일어났는지 잘 모르겠지만, 그는 다시 직장으로 돌아왔습니다...#$b#아니요, {{DT_name}}님. 그것은 단지 그들 사이에 있습니다. 나는 그것을 알고 싶지 않습니다.","Pierre ve Sterling arasında ne olduğundan emin değilim ama işine geri döndü...#$b#Hayır, {{DT_name}}. Bu sadece onların arasındadır. Bunu bilmek istemiyorum.","Nem tudom, mi történt Pierre és Sterling között, de újra dolgozik...#$b#Nem, {{DT_name}}. Csak köztük van. Nem akarom tudni."
// Alecto,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dialogues.CT.AlectoIntroduction: ""Something tells me you met {{DT_wizard_name}}'s ex-wife, Alecto.#$b#No, if you thought I'd blame you for that, I will not.#$b#But please, don't tell {{DT_wizard_name}} you met her, or something tragic might happen."",","Something tells me you met {{DT_wizard_name}}'s ex-wife, Alecto.#$b#No, if you thought I'd blame you for that, I will not.#$b#But please, don't tell {{DT_wizard_name}} you met her, or something tragic might happen.","Irgendetwas sagt mir, dass du die Ex-Frau von {{DT_wizard_name}} getroffen hast, Alecto.#$b#Nein, wenn du dachtest, ich würde dir dafür die Schuld geben, werde ich es nicht tun.#$b#Aber bitte sag {{DT_wizard_name}} nicht, dass du sie getroffen hast, sonst könnte etwas Tragisches passieren.","Algo me dice que conociste a la ex esposa de {{DT_wizard_name}}, Alecto.#$b#No, si pensabas que te culparía por eso, no lo haré.#$b#Pero por favor, no le digas a {{DT_wizard_name}} que la conociste o podría suceder algo trágico.","Algo me diz que você conheceu a ex-mulher de {{DT_wizard_name}}, Alecto.#$b#Não, se você pensou que eu iria culpá-lo por isso, não o farei.#$b#Mas por favor, não conte a {{DT_wizard_name}} que você a conheceu, ou algo trágico pode acontecer.","Что-то подсказывает мне, что ты встретил бывшую жену {{DT_wizard_name}}, Алекто.#$b#Нет, если ты думал, что я буду винить тебя в этом, я не буду.#$b#Но, пожалуйста, не говори {{DT_wizard_name}} о том, что ты встретил ее, иначе может случиться что-то трагическое.",あなたが {{DT_wizard_name}} の元妻、アレクトに会ったことがわかりました。#$b#いいえ、そのことであなたを責めると思うなら、私はそうではありません。#$b#しかし、お願いだから、{{DT_wizard_name}} に彼女に会ったことは言わないでください。そうしないと、何か悲劇的なことが起こるかもしれません。,有消息告诉我你遇到了 {{DT_wizard_name}} 的前妻 Alecto。#$b#不，如果你认为我会为此责怪你，我不会。#$b#但是请不要告诉 {{DT_wizard_name}} 你见过她，否则可能会发生悲剧。,"Qualcosa mi dice che hai incontrato l'ex moglie di {{DT_wizard_name}}, Alecto.#$b#No, se pensavi che ti avrei incolpato per questo, non lo farò.#$b#Ma per favore, non dire a {{DT_wizard_name}} che l'hai incontrata, altrimenti potrebbe accadere qualcosa di tragico.","Quelque chose me dit que vous avez rencontré l'ex-femme de {{DT_wizard_name}}, Alecto.#$b#Non, si vous pensiez que je vous blâmerais pour cela, je ne le ferai pas.#$b#Mais s'il vous plaît, ne dites pas à {{DT_wizard_name}} que vous l'avez rencontrée, sinon quelque chose de tragique pourrait arriver.","당신이 {{DT_wizard_name}}의 전처인 Alecto를 만났다는 소식이 있습니다.#$b#아니요, 제가 당신을 탓할 것이라고 생각했다면 그렇게 하지 않을 것입니다.#$b#하지만 {{DT_wizard_name}}에게 당신이 그녀를 만났다고 말하지 마세요. 그렇지 않으면 비극적인 일이 일어날 수 있습니다.","İçimden bir ses, {{DT_wizard_name}}'nin eski karısı Alecto ile tanıştığınızı söylüyor.#$b#Hayır, eğer bunun için sizi suçlayacağımı düşünüyorsanız, bunu yapmayacağım.#$b#Ama lütfen {{DT_wizard_name}}'a onunla tanıştığınızı söyleme, yoksa trajik bir şey olabilir.","Valami azt súgja, hogy találkozott {{DT_wizard_name}} volt feleségével, Alectoval.#$b#Nem, ha úgy gondolta, hogy ezért téged hibáztatlak, akkor nem fogom.#$b#De kérlek, ne mondd el {{DT_wizard_name}}-nak, hogy találkoztál vele, különben valami tragikus történhet."
"Dialogues.CT.AlectoWizardTower: ""I noticed that the magical aura of this place changed for a while not long from now.#$b#I lied to {{DT_wizard_name}} that I can't detect who nor why it happened, but between you and me, I suppose Alecto was nearby."",","I noticed that the magical aura of this place changed for a while not long from now.#$b#I lied to {{DT_wizard_name}} that I can't detect who nor why it happened, but between you and me, I suppose Alecto was nearby.","Mir ist aufgefallen, dass sich die magische Aura dieses Ortes in nicht allzu langer Zeit für eine Weile verändert hat.#$b#Ich habe {{DT_wizard_name}} angelogen, dass ich weder erkennen kann, wer noch warum es passiert ist, aber unter uns gesagt, ich nehme an, dass Alecto in der Nähe war.","Noté que el aura mágica de este lugar cambió por un tiempo no mucho después.#$b#Le mentí a {{DT_wizard_name}} que no puedo detectar quién ni por qué sucedió, pero entre tú y yo, supongo que Alecto estaba cerca.","Percebi que a aura mágica deste lugar mudou há pouco tempo.#$b#Eu menti para {{DT_wizard_name}} que não consigo detectar quem nem por que isso aconteceu, mas entre você e eu, suponho que Alecto estava por perto.","Вскоре я заметил, что волшебная аура этого места на некоторое время изменилась.#$b#Я солгал {{DT_wizard_name}}, что не могу определить, кто и почему это произошло, но, между нами говоря, я полагаю, что Алекто был поблизости.",私は、この場所の魔法のオーラがしばらくの間変化していることに気づきました。#$b#私は {{DT_wizard_name}} に、誰が、なぜそれが起こったのかは分からないと嘘をつきましたが、ここだけの話、アレクトが近くにいたと思います。,我发现这个地方的魔法光环从现在开始不久就发生了一段时间的变化。#$b#我对{{DT_wizard_name}}撒谎说我无法查出是谁以及为什么会发生这种情况，但在你我之间，我认为阿莱克托就在附近。,"Ho notato che l'aura magica di questo posto è cambiata per un po' non molto tempo fa.#$b#Ho mentito a {{DT_wizard_name}} dicendogli che non riesco a capire chi né perché sia ​​successo, ma detto tra me e te, suppongo che Alecto fosse nelle vicinanze.","J'ai remarqué que l'aura magique de cet endroit a changé il n'y a pas longtemps.#$b#J'ai menti à {{DT_wizard_name}} en disant que je ne peux pas détecter qui ni pourquoi c'est arrivé, mais entre vous et moi, je suppose qu'Alecto était à proximité.","이 곳의 마법의 기운이 얼마 지나지 않아 바뀌었다는 것을 알아차렸습니다.#$b#누가, 왜 일어났는지 알 수 없다고 {{DT_wizard_name}}에게 거짓말을 했지만, 당신과 나 사이에는 알렉토가 근처에 있었던 것 같습니다.","Bu yerin büyülü aurasının kısa bir süreliğine değiştiğini fark ettim.#$b#Bunun kimde olduğunu ve neden olduğunu tespit edemediğim konusunda {{DT_wizard_name}}'a yalan söyledim, ama aramızda kalsın, sanırım Alecto yakınlardaydı.","Észrevettem, hogy ennek a helynek a varázslatos aurája nem sokkal később megváltozott.#$b#Hazudtam {{DT_wizard_name}}-nek, hogy nem tudom kideríteni, ki és miért történt, de közted és köztem, azt hiszem, Alecto a közelben volt."
// Juna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dialogues.CT.JunaSign: ""I saw what Juna did to that poor sign.#$b#Do you know what she has against it? OR what she has against {{DT_wizard_name}}?"",",I saw what Juna did to that poor sign.#$b#Do you know what she has against it? OR what she has against {{DT_wizard_name}}?,"Ich habe gesehen, was Juna mit diesem armen Schild gemacht hat.#$b#Weißt du, was sie dagegen hat? ODER was sie gegen {{DT_wizard_name}} hat?",Vi lo que Juna le hizo a ese pobre cartel.#$b#¿Sabes qué tiene en contra? ¿O qué tiene ella contra {{DT_wizard_name}}?,Eu vi o que Juna fez com aquele pobre sinal.#$b#Você sabe o que ela tem contra isso? OU o que ela tem contra {{DT_wizard_name}}?,"Я видел, что Джуна сделала с этим бедным знаком.#$b#Знаешь, что она имеет против этого? ИЛИ что она имеет против {{DT_wizard_name}}?",ジュナがそのかわいそうなサインに対して何をしたのかを見ました。#$b#彼女がそれに対して何を持っているか知っていますか?それとも、彼女は {{DT_wizard_name}} に対して何を持っていますか?,我看到朱娜对那个可怜的标志做了什么。#$b#你知道她反对什么吗？或者她对{{DT_wizard_name}}有什么不满？,Ho visto cosa ha fatto Juna a quel povero segno.#$b#Sai cosa ha contro? O cosa ha contro {{DT_wizard_name}}?,J'ai vu ce que Juna a fait à ce pauvre signe.#$b#Savez-vous ce qu'elle a contre ? OU qu'est-ce qu'elle a contre {{DT_wizard_name}} ?,Juna가 그 불쌍한 간판에 무슨 짓을 했는지 봤어요.#$b#그녀가 반대하는 이유가 무엇인지 아시나요? 아니면 그녀가 {{DT_wizard_name}}에 대해 무엇을 가지고 있습니까?,Juna'nın o zavallı tabelaya ne yaptığını gördüm.#$b#Onun buna ne karşı olduğunu biliyor musun? VEYA {{DT_wizard_name}}'a karşı elinde ne var?,"Láttam, mit csinált Juna azzal a szegény jellel.#$b#Tudod, mi ellene van? VAGY mi van vele {{DT_wizard_name}} ellen?"
"Dialogues.CT.JunaBeachBallet: ""I'm pretty sure that it's not a thing I should care about, but did you see Juna coming home pretty late at night some days?#$b#As she lives near me and {{DT_wizard_name}}, I heard her walking a few times.#$b#If you could prove me right or wrong, please let me know, {{DT_name}}."",","I'm pretty sure that it's not a thing I should care about, but did you see Juna coming home pretty late at night some days?#$b#As she lives near me and {{DT_wizard_name}}, I heard her walking a few times.#$b#If you could prove me right or wrong, please let me know, {{DT_name}}.","Ich bin mir ziemlich sicher, dass es mir egal ist, aber hast du Juna an manchen Tagen ziemlich spät abends nach Hause kommen sehen?#$b#Da sie in der Nähe von mir und {{DT_wizard_name}} wohnt, habe ich sie ein paar Mal gehen hören.#$b#Wenn du mir Recht oder Unrecht beweisen kannst, lass es mich bitte wissen, {{DT_name}}.","Estoy bastante seguro de que no es algo que deba importarme, pero ¿viste a Juna llegar a casa bastante tarde por la noche algunos días?#$b#Como ella vive cerca de mí y de {{DT_wizard_name}}, la escuché caminar un par de veces.#$b#Si puedes demostrar que tengo razón o no, házmelo saber, {{DT_name}}.","Tenho certeza de que não é algo com que eu deva me preocupar, mas você viu Juna chegando em casa bem tarde da noite em alguns dias?#$b#Como ela mora perto de mim e de {{DT_wizard_name}}, eu a ouvi andando algumas vezes.#$b#Se você puder provar que estou certo ou errado, por favor me avise, {{DT_name}}.","Я почти уверен, что меня это не должно волновать, но видели ли вы, чтобы Джуна иногда возвращалась домой довольно поздно ночью?#$b#Поскольку она живет рядом со мной и {{DT_wizard_name}}, я несколько раз слышал, как она шла.#$b#Если вы можете доказать, что я прав или нет, пожалуйста, дайте мне знать, {{DT_name}}.",それは私が気にする必要のないことだと確信していますが、日によってはジュナがかなり夜遅くに帰ってくるのを見かけましたか?#$b#彼女は私と {{DT_wizard_name}} の近くに住んでいたので、彼女が歩いている音を何度か聞きました。#$b#もし私が正しいか間違っているか証明できるなら、教えてください、{{DT_name}}。,我很确定这不是我应该关心的事情，但是你有没有看到朱娜有时在深夜回家？#$b#因为她住在我和 {{DT_wizard_name}} 附近，我听到她走路了几次。#$b#如果你能证明我是对还是错，请告诉我，{{DT_name}}。,"Sono abbastanza sicuro che non sia una cosa di cui dovrei preoccuparmi, ma hai visto Juna tornare a casa piuttosto tardi la sera certi giorni?#$b#Dato che vive vicino a me e a {{DT_wizard_name}}, l'ho sentita camminare alcune volte.#$b#Se potessi dimostrarmi che avevo ragione o torto, per favore fammelo sapere, {{DT_name}}.","Je suis presque sûr que ce n'est pas une chose qui devrait m'intéresser, mais avez-vous vu Juna rentrer à la maison assez tard le soir certains jours ?#$b#Comme elle habite près de chez moi et de {{DT_wizard_name}}, je l'ai entendue marcher plusieurs fois.#$b#Si vous pouvez me prouver que j'ai raison ou tort, faites-le-moi savoir, {{DT_name}}.","제가 신경 쓸 일은 아닌 것 같지만, Juna가 어떤 날 밤 늦게 집에 오는 걸 보셨나요?#$b#그녀가 나와 {{DT_wizard_name}} 근처에 살기 때문에 그녀가 걷는 소리를 몇 번 들었습니다.#$b#제가 옳고 그름을 증명할 수 있다면 알려주시기 바랍니다, {{DT_name}}.","Bunun umursamam gereken bir şey olmadığından oldukça eminim ama Juna'nın bazı günler gece geç saatlerde eve geldiğini gördün mü?#$b#Benim ve {{DT_wizard_name}}'ın yakınında yaşadığından, onun birkaç kez yürüdüğünü duydum.#$b#Eğer haklı ya da haksız olduğumu kanıtlarsan lütfen bana haber ver {{DT_name}}.","Biztos vagyok benne, hogy ez nem egy olyan dolog, amivel foglalkoznom kellene, de láttad Junát néhány nap, amikor késő este jön haza?#$b#Mivel a közelemben lakik és {{DT_wizard_name}}, néhányszor hallottam sétálni.#$b#Ha be tudod bizonyítani, hogy igazam van vagy nem, kérlek, tudasd velem, {{DT_name}}."
"Dialogues.CT.JunaJunimos: ""Abigail told me you, her and Juna hang out with Junimos.#$b#So they both also know about you and Junimos..."",","Abigail told me you, her and Juna hang out with Junimos.#$b#So they both also know about you and Junimos...","Abigail hat mir erzählt, dass du, sie und Juna mit Junimos rumhängen.#$b#Also wissen beide auch von dir und Junimos ...","Abigail me dijo que tú, ella y Juna salen con Junimos.#$b#Así que ambos también saben sobre ti y Junimos...","Abigail me contou que você, ela e Juna saem com Junimos.#$b#Então as duas também sabem sobre você e Junimos...","Эбигейл сказала мне, что ты, она и Джуна тусуются с Джунимосом.#$b#Значит, они обе тоже знают о тебе и Джунимосе...",アビゲイルはあなた、彼女とジュナがジュニモスと一緒に遊んでいると言ってくれました。#$b#つまり、彼らは二人ともあなたとジュニモスのことを知っているのですね...,阿比盖尔告诉我你、她和朱娜和朱尼莫斯一起出去玩。#$b#所以他们也都知道你和朱尼莫斯...,"Abigail mi ha detto che tu, lei e Juna uscite con Junimos.#$b#Quindi entrambi sanno di te e Junimos...","Abigail m'a dit que toi, elle et Juna traîniez avec Junimos.#$b#Donc, ils savent tous les deux aussi pour vous et Junimos...",애비게일 말로는 주나가 주니모와 어울린다고 하더군요.#$b#그래서 두 사람도 너와 주니모스에 대해 알고 있다는 건데...,"Abigail bana senin, onun ve Juna'nın Junimos'la takıldığını söyledi.#$b#Yani ikisi de seni ve Junimos'u biliyor...","Abigail elmondta, hogy te, ő és Juna Junimosszal lógsz.#$b#Tehát mindketten tudnak rólad és Junimosról..."
"Dialogues.CT.JunaGone: ""{{DT_wizard_name}} told me Juna went to her parents.#$b#I'm not sure what will come next..."",",{{DT_wizard_name}} told me Juna went to her parents.#$b#I'm not sure what will come next...,"{{DT_wizard_name}} hat mir erzählt, dass Juna zu ihren Eltern gegangen ist.#$b#Ich bin mir nicht sicher, was als nächstes kommen wird ...",{{DT_wizard_name}} me dijo que Juna fue con sus padres.#$b#No estoy seguro de lo que vendrá después...,{{DT_wizard_name}} me disse que Juna foi para a casa dos pais.#$b#Não tenho certeza do que acontecerá a seguir...,"{{DT_wizard_name}} сказала мне, что Джуна пошла к своим родителям.#$b#Я не уверен, что будет дальше...",{{DT_wizard_name}} は、ジュナが両親のところに行ったと言ってくれました。#$b#次に何が起こるかわかりません...,{{DT_wizard_name}}告诉我朱娜去找她父母了。#$b#我不知道接下来会发生什么...,{{DT_wizard_name}} mi ha detto che Juna è andata dai suoi genitori.#$b#Non sono sicuro di cosa accadrà dopo...,{{DT_wizard_name}} m'a dit que Juna était allée chez ses parents.#$b#Je ne suis pas sûr de la suite...,{{DT_wizard_name}}님은 Juna가 부모님에게 갔다고 말했습니다.#$b#다음에는 어떻게 될지 모르겠습니다...,{{DT_wizard_name}} bana Juna'nın ailesinin yanına gittiğini söyledi.#$b#Bundan sonra ne olacağından emin değilim...,"{{DT_wizard_name}} elmondta, hogy Juna a szüleihez ment.#$b#Nem tudom, mi lesz ezután..."
"Dialogues.CT.JunaWizard: ""Juna is living with M. Rasmodia and me.#$b#I sense incoming changes between them. We shall see if they will be good or not..."",",Juna is living with M. Rasmodia and me.#$b#I sense incoming changes between them. We shall see if they will be good or not...,"Juna lebt mit M. Rasmodia und mir zusammen.#$b#Ich spüre bevorstehende Veränderungen zwischen ihnen. Wir werden sehen, ob sie gut sind oder nicht ...",Juna vive con M. Rasmodia y conmigo.#$b#Siento que se avecinan cambios entre ellos. Veremos si serán buenos o no...,Juna está morando com M. Rasmodia e eu.#$b#Sinto mudanças entre eles. Veremos se serão bons ou não...,"Джуна живет со мной и М. Расмодией.#$b#Я чувствую грядущие перемены между ними. Посмотрим, будут они хорошими или нет...",ジュナはラスモディア氏と私と一緒に暮らしています。#$b#私は彼らの間に変化が訪れるのを感じています。それらがうまくいくかどうか見てみましょう...,朱娜与拉斯莫迪亚先生和我住在一起。#$b#我感觉到他们之间即将发生的变化。我们将看看他们是否会好...,Juna vive con me e M. Rasmodia.#$b#Percepisco dei cambiamenti in arrivo tra loro. Vedremo se saranno buoni oppure no...,Juna vit avec M. Rasmodia et moi.#$b#Je sens des changements se produire entre eux. On verra s'ils seront bons ou pas...,Juna는 M. Rasmodia와 저와 함께 살고 있습니다.#$b#두 사람 사이에 변화가 일어나는 것이 느껴집니다. 우리는 그들이 좋은지 아닌지 볼 것입니다 ...,"Juna, M. Rasmodia ve benimle yaşıyor.#$b#Aralarında değişiklikler olacağını hissediyorum. İyi olup olmayacaklarını göreceğiz...","Juna M. Rasmodiával és velem él.#$b#Érzem, hogy beérkező változások vannak közöttük. Meglátjuk jók lesznek-e vagy sem..."
"Dialogues.CT.JunaProtectiveWizard: ""I overheard that conversation between {{DT_wizard_name}} and Juna.#$b#As it is not my thing, I won't comment it."",","I overheard that conversation between {{DT_wizard_name}} and Juna.#$b#As it is not my thing, I won't comment it.","Ich habe das Gespräch zwischen {{DT_wizard_name}} und Juna mitgehört.#$b#Da es nicht mein Ding ist, werde ich es nicht kommentieren.","Escuché esa conversación entre {{DT_wizard_name}} y Juna.#$b#Como no es lo mío, no lo comentaré.","Eu ouvi aquela conversa entre {{DT_wizard_name}} e Juna.#$b#Como não é minha praia, não vou comentar.","Я подслушал этот разговор между {{DT_wizard_name}} и Джуной.#$b#Поскольку это не мое дело, я не буду его комментировать.",{{DT_wizard_name}}とジュナの間の会話を耳にしました。#$b#それは私の興味ではないので、コメントしません。,我无意中听到了{{DT_wizard_name}}和Juna之间的对话。#$b#因为这不是我的事，所以我不会评论。,"Ho sentito quella conversazione tra {{DT_wizard_name}} e Juna.#$b#Dato che non è il mio genere, non la commenterò.","J'ai entendu cette conversation entre {{DT_wizard_name}} et Juna.#$b#Comme ce n'est pas mon truc, je ne la commenterai pas.",{{DT_wizard_name}}님과 Juna님의 대화를 우연히 들었습니다.#$b#내 일이 아니어서 댓글은 달지 않겠습니다.,{{DT_wizard_name}} ile Juna arasındaki konuşmaya kulak misafiri oldum.#$b#Bu bana göre olmadığı için yorum yapmayacağım.,"Hallottam a beszélgetést {{DT_wizard_name}} és Juna között.#$b#Mivel nem az én dolgom, nem kommentálom."
"Dialogues.CT.BigFootWizard: ""...#$b#I do not want to know the reason Juna thinks that {{DT_wizard_name}} is Big Foot."",",...#$b#I do not want to know the reason Juna thinks that {{DT_wizard_name}} is Big Foot.,"...#$b#Ich möchte nicht wissen, warum Juna denkt, dass {{DT_wizard_name}} Big Foot ist.",...#$b#No quiero saber la razón por la que Juna piensa que {{DT_wizard_name}} es Big Foot.,...#$b#Não quero saber o motivo pelo qual Juna pensa que {{DT_wizard_name}} é o Pé Grande.,"...#$b#Я не хочу знать, почему Джуна считает, что {{DT_wizard_name}} - Большая Нога.",...#$b#ジュナが {{DT_wizard_name}} をビッグフットだと思う理由を知りたくありません。,...#$b#我不想知道为什么 Juna 认为 {{DT_wizard_name}} 是大脚。,...#$b#Non voglio sapere il motivo per cui Juna pensa che {{DT_wizard_name}} sia Big Foot.,...#$b#Je ne veux pas savoir pourquoi Juna pense que {{DT_wizard_name}} est Big Foot.,...#$b#Juna가 {{DT_wizard_name}}이(가) 빅풋이라고 생각하는 이유를 알고 싶지 않습니다.,...#$b#Juna'nın {{DT_wizard_name}}'nin Koca Ayak olduğunu düşünmesinin nedenini bilmek istemiyorum.,"...#$b#Nem akarom tudni, miért gondolja Juna, hogy {{DT_wizard_name}} nagy lábú."
// Lavril,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dialogues.CT.LavrilUnlocked: ""I sense...#$b#... a friendly ghost released?#$b#Quite unexpected...#$b#You know something about it, {{DT_name}}, don't you?"",","I sense...#$b#... a friendly ghost released?#$b#Quite unexpected...#$b#You know something about it, {{DT_name}}, don't you?","Ich spüre...#$b#...einen freundlichen Geist freigelassen?#$b#Ganz unerwartet...#$b#Du weißt etwas darüber, {{DT_name}}, nicht wahr?","Siento...#$b#... ¿un fantasma amistoso liberado?#$b#Bastante inesperado...#$b#Sabes algo al respecto, {{DT_name}}, ¿no?","Eu sinto...#$b#... um fantasma amigável libertado?#$b#Bastante inesperado...#$b#Você sabe alguma coisa sobre isso, {{DT_name}}, não é?","Я чувствую...#$b#... дружелюбное привидение высвободилось?#$b#Совершенно неожиданно...#$b#Ты кое-что об этом знаешь, {{DT_name}}, не так ли?",気がします...#$b#... 友好的な幽霊が解放されました?#$b#まったく予想外でした...#$b#それについて何か知っていますか、{{DT_name}}、ね?,我感觉到...#$b#...一个友好的鬼魂被释放了？#$b#非常出乎意料...#$b#你知道一些关于它的事情，{{DT_name}}，不是吗？,"Sento...#$b#... un fantasma amichevole liberato?#$b#Abbastanza inaspettato...#$b#Ne sai qualcosa, {{DT_name}}, vero?","Je sens...#$b#... un fantôme amical libéré ?#$b#Assez inattendu...#$b#Vous en savez quelque chose, {{DT_name}}, n'est-ce pas ?","내 생각엔...#$b#... 친절한 유령이 풀려난 것 같은데?#$b#아주 예상치 못한...#$b#{{DT_name}}님, 그것에 대해 뭔가 알고 계시죠?","Sanırım...#$b#... dost canlısı bir hayalet serbest bırakıldı?#$b#Oldukça beklenmedik...#$b#Bu konuda bir şeyler biliyorsun {{DT_name}}, değil mi?","Érzem...#$b#... egy barátságos szellem szabadult fel?#$b#Elég váratlanul...#$b#Tudsz valamit róla, {{DT_name}}, ugye?"
// Lucikiel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dialogues.CT.LucikielArrives: ""That demon has powerful magic. Be aware of that."",",That demon has powerful magic. Be aware of that.,Dieser Dämon verfügt über mächtige Magie. Seien Sie sich dessen bewusst.,Ese demonio tiene una magia poderosa. Tenga en cuenta eso.,Esse demônio tem uma magia poderosa. Esteja ciente disso.,Этот демон обладает мощной магией. Имейте это в виду.,あの悪魔は強力な魔法を持っています。そのことに注意してください。,那个恶魔拥有强大的魔法。请注意这一点。,Quel demone ha una magia potente. Sii consapevole di ciò.,Ce démon possède une magie puissante. Soyez-en conscient.,그 악마는 강력한 마법을 가지고 있어요. 그것을 알아 두십시오.,Bu iblisin güçlü bir büyüsü var. Bunun farkında olun.,Ennek a démonnak erős mágiája van. Legyen ezzel tisztában.
